Date,Time,am/pm,P1.1.1 P (W)
6/11/21,5:00:00,AM,
6/11/21,5:54:00,AM,4.6719
6/11/21,5:58:00,AM,6.5859
6/11/21,6:00:00,AM,9.2109
6/11/21,6:04:00,AM,11.8359
6/11/21,6:10:00,AM,13.0359
6/11/21,6:13:00,AM,13.2766
6/11/21,6:16:00,AM,14.25
6/11/21,6:21:00,AM,13.2344
6/11/21,6:30:00,AM,21.0938
6/11/21,6:32:00,AM,23.55
6/11/21,6:37:00,AM,26.4688
6/11/21,6:42:00,AM,21.2344
6/11/21,6:50:00,AM,21.2437
6/11/21,6:52:00,AM,28.6031
6/11/21,6:56:00,AM,39.9984
6/11/21,7:00:00,AM,44.39335
6/11/21,7:05:00,AM,48.7883
6/11/21,7:06:00,AM,60.6891
6/11/21,7:11:00,AM,39.6211
6/11/21,7:17:00,AM,85.3266
6/11/21,7:25:00,AM,49.8086
6/11/21,7:30:00,AM,47.1
6/11/21,7:35:00,AM,92.3906
6/11/21,7:41:00,AM,118.5742
6/11/21,7:44:00,AM,99.0586
6/11/21,7:46:00,AM,78.2438
6/11/21,7:55:00,AM,134.6695
6/11/21,7:57:00,AM,138.4313
6/11/21,8:00:00,AM,142.043
6/11/21,8:03:00,AM,145.6547
6/11/21,8:09:00,AM,153.4781
6/11/21,8:16:00,AM,165.0141
6/11/21,8:24:00,AM,175.5883
6/11/21,8:30:00,AM,186.9805
6/11/21,8:35:00,AM,190.6523
6/11/21,8:37:00,AM,197
6/11/21,8:42:00,AM,202.7594
6/11/21,8:49:00,AM,208.2703
6/11/21,8:54:00,AM,218.3766
6/11/21,8:56:00,AM,218.9375
6/11/21,9:00:00,AM,223.07265
6/11/21,9:02:00,AM,227.2078
6/11/21,9:07:00,AM,234.7781
6/11/21,9:13:00,AM,242.8547
6/11/21,9:18:00,AM,249.043
6/11/21,9:23:00,AM,256.5031
6/11/21,9:37:00,AM,273.0328
6/11/21,9:42:00,AM,295.9125
6/11/21,9:53:00,AM,303.0938
6/11/21,9:56:00,AM,305.4141
6/11/21,10:00:00,AM,326.38595
6/11/21,10:04:00,AM,347.3578
6/11/21,10:06:00,AM,355.0625
6/11/21,10:13:00,AM,195.2977
6/11/21,10:16:00,AM,155.2773
6/11/21,10:26:00,AM,338.7766
6/11/21,10:32:00,AM,325.1219
6/11/21,10:40:00,AM,329.2969
6/11/21,10:46:00,AM,369.9914
6/11/21,10:55:00,AM,282.6141
6/11/21,11:00:00,AM,363.86175
6/11/21,11:00:00,AM,445.1094
6/11/21,11:01:00,AM,437.1867
6/11/21,11:09:00,AM,121.2047
6/11/21,11:11:00,AM,130.9219
6/11/21,11:20:00,AM,146.0063
6/11/21,11:24:00,AM,175.4648
6/11/21,11:31:00,AM,169.1594
6/11/21,11:35:00,AM,163.7609
6/11/21,11:38:00,AM,175.7437
6/11/21,11:45:00,AM,433.7297
6/11/21,11:48:00,AM,433.125
6/11/21,11:52:00,AM,462.9023
6/11/21,11:59:00,AM,224.7438
6/11/21,12:00:00,PM,216.1594
6/11/21,12:01:00,PM,207.575
6/11/21,12:09:00,PM,364.957
6/11/21,12:15:00,PM,179.2656
6/11/21,12:20:00,PM,277.2266
6/11/21,12:25:00,PM,231.2406
6/11/21,12:31:00,PM,143.2148
6/11/21,12:38:00,PM,138.5672
6/11/21,12:41:00,PM,144.6313
6/11/21,12:50:00,PM,145.35
6/11/21,12:54:00,PM,173.25
6/11/21,1:00:00,PM,306.32345
6/11/21,1:00:00,PM,439.3969
6/11/21,1:01:00,PM,291.418
6/11/21,1:07:00,PM,409.9078
6/11/21,1:12:00,PM,410.3906
6/11/21,1:16:00,PM,400.2516
6/11/21,1:25:00,PM,381.9
6/11/21,1:28:00,PM,391.8235
6/11/21,1:35:00,PM,297.318
6/11/21,1:37:00,PM,397.1133
6/11/21,1:41:00,PM,389.5
6/11/21,1:47:00,PM,323.1094
6/11/21,1:52:00,PM,160.075
6/11/21,1:56:00,PM,290.2219
6/11/21,2:00:00,PM,284.9625
6/11/21,2:02:00,PM,279.7031
6/11/21,2:09:00,PM,341.3656
6/11/21,2:16:00,PM,349.4235
6/11/21,2:19:00,PM,265.4375
6/11/21,2:24:00,PM,327.8297
6/11/21,2:29:00,PM,302.5266
6/11/21,2:34:00,PM,251.2297
6/11/21,2:38:00,PM,354.1313
6/11/21,2:42:00,PM,323.5859
6/11/21,2:47:00,PM,337.8828
6/11/21,2:55:00,PM,294.5
6/11/21,2:58:00,PM,344.8953
6/11/21,3:00:00,PM,348.1332
6/11/21,3:01:00,PM,351.3711
6/11/21,3:11:00,PM,313.8891
6/11/21,3:12:00,PM,318.1734
6/11/21,3:18:00,PM,272.1469
6/11/21,3:21:00,PM,307.1125
6/11/21,3:26:00,PM,78.3313
6/11/21,3:34:00,PM,187.0312
6/11/21,3:36:00,PM,179.6203
6/11/21,3:42:00,PM,259
6/11/21,3:48:00,PM,237.4805
6/11/21,3:52:00,PM,173.9547
6/11/21,3:56:00,PM,157.2617
6/11/21,4:00:00,PM,165.7777
6/11/21,4:02:00,PM,174.2937
6/11/21,4:08:00,PM,151.2758
6/11/21,4:15:00,PM,167.9734
6/11/21,4:20:00,PM,185.0859
6/11/21,4:24:00,PM,97.1875
6/11/21,4:31:00,PM,116.1523
6/11/21,4:35:00,PM,213.5469
6/11/21,4:37:00,PM,217.5
6/11/21,4:45:00,PM,191.7812
6/11/21,4:48:00,PM,173.1906
6/11/21,4:54:00,PM,163.7008
6/11/21,4:59:00,PM,168.0391
6/11/21,5:00:00,PM,167.64455
6/11/21,5:03:00,PM,167.25
6/11/21,5:08:00,PM,147.5719
6/11/21,5:18:00,PM,114.6406
6/11/21,5:21:00,PM,42.0375
6/11/21,5:29:00,PM,66.4453
6/11/21,5:34:00,PM,84.6562
6/11/21,5:36:00,PM,80.2344
6/11/21,5:43:00,PM,66.3305
6/11/21,5:53:00,PM,97.657
6/11/21,5:59:00,PM,78.507
6/11/21,6:00:00,PM,71.77655
6/11/21,6:05:00,PM,65.0461
6/11/21,6:10:00,PM,53.8312
6/11/21,6:11:00,PM,51.675
6/11/21,6:20:00,PM,12.5898
6/11/21,6:22:00,PM,11.9664
6/11/21,6:26:00,PM,13.8281
6/11/21,6:36:00,PM,15.9141
6/11/21,6:36:00,PM,16.0234
6/11/21,6:45:00,PM,12.2766
6/11/21,6:50:00,PM,14.3227
6/11/21,6:54:00,PM,12.775
6/11/21,6:57:00,PM,11.6742
6/11/21,7:00:00,PM,10.2902
6/11/21,7:02:00,PM,8.9062
6/11/21,7:07:00,PM,5.8852